name,type,type_id,n_dims,dims,offset,bytes
blk.37.ffn_up.weight,PQ2_0,142,2,5120x17408,4515228160,
blk.37.post_attention_norm.weight,F32,0,1,5120,4538903040,20480
blk.37.ssm_a,F32,0,1,48,4538923520,192
blk.37.ssm_alpha.weight,BF16,30,2,5120x48,4538923712,491520
blk.37.ssm_beta.weight,BF16,30,2,5120x48,4539415232,491520
blk.37.ssm_conv1d.weight,F32,0,2,4x10240,4539906752,163840
blk.37.ssm_dt.bias,F32,0,1,48,4540070592,192
blk.37.ssm_norm.weight,F32,0,1,128,4540070784,512
blk.37.ssm_out.weight,PQ2_0,142,2,6144x5120,4540071296,
blk.38.attn_gate.weight,PQ2_0,142,2,5120x6144,4548427136,
blk.38.attn_norm.weight,F32,0,1,5120,4556782976,20480
blk.38.attn_qkv.weight,PQ2_0,142,2,5120x10240,4556803456,
blk.38.ffn_down.weight,PQ2_0,142,2,17408x5120,4570729856,
blk.38.ffn_gate.weight,PQ2_0,142,2,5120x17408,4594404736,
blk.38.ffn_up.weight,PQ2_0,142,2,5120x17408,4618079616,
blk.38.post_attention_norm.weight,F32,0,1,5120,4641754496,20480
blk.38.ssm_a,F32,0,1,48,4641774976,192
blk.38.ssm_alpha.weight,BF16,30,2,5120x48,4641775168,491520
blk.38.ssm_beta.weight,BF16,30,2,5120x48,4642266688,491520
blk.38.ssm_conv1d.weight,F32,0,2,4x10240,4642758208,163840
blk.38.ssm_dt.bias,F32,0,1,48,4642922048,192
blk.38.ssm_norm.weight,F32,0,1,128,4642922240,512
blk.38.ssm_out.weight,PQ2_0,142,2,6144x5120,4642922752,
blk.39.attn_k.weight,PQ2_0,142,2,5120x1024,4651278592,
blk.39.attn_k_norm.weight,F32,0,1,256,4652671232,1024
blk.39.attn_norm.weight,F32,0,1,5120,4652672256,20480
blk.39.attn_output.weight,PQ2_0,142,2,6144x5120,4652692736,
blk.39.attn_q.weight,PQ2_0,142,2,5120x12288,4661048576,
blk.39.attn_q_norm.weight,F32,0,1,256,4677760256,1024
blk.39.attn_v.weight,PQ2_0,142,2,5120x1024,4677761280,
blk.39.ffn_down.weight,PQ2_0,142,2,17408x5120,4679153920,
blk.39.ffn_gate.weight,PQ2_0,142,2,5120x17408,4702828800,
blk.39.ffn_up.weight,PQ2_0,142,2,5120x17408,4726503680,
blk.39.post_attention_norm.weight,F32,0,1,5120,4750178560,20480
blk.40.attn_gate.weight,PQ2_0,142,2,5120x6144,4750199040,
blk.40.attn_norm.weight,F32,0,1,5120,4758554880,20480
blk.40.attn_qkv.weight,PQ2_0,142,2,5120x10240,4758575360,
blk.40.ffn_down.weight,PQ2_0,142,2,17408x5120,4772501760,
blk.40.ffn_gate.weight,PQ2_0,142,2,5120x17408,4796176640,
blk.40.ffn_up.weight,PQ2_0,142,2,5120x17408,4819851520,
blk.40.post_attention_norm.weight,F32,0,1,5120,4843526400,20480
blk.40.ssm_a,F32,0,1,48,4843546880,192
blk.40.ssm_alpha.weight,BF16,30,2,5120x48,4843547072,491520
blk.40.ssm_beta.weight,BF16,30,2,5120x48,4844038592,491520
blk.40.ssm_conv1d.weight,F32,0,2,4x10240,4844530112,163840
blk.40.ssm_dt.bias,F32,0,1,48,4844693952,192
blk.40.ssm_norm.weight,F32,0,1,128,4844694144,512
blk.40.ssm_out.weight,PQ2_0,142,2,6144x5120,4844694656,
blk.41.attn_gate.weight,PQ2_0,142,2,5120x6144,4853050496,
blk.41.attn_norm.weight,F32,0,1,5120,4861406336,20480
blk.41.attn_qkv.weight,PQ2_0,142,2,5120x10240,4861426816,
blk.41.ffn_down.weight,PQ2_0,142,2,17408x5120,4875353216,
blk.41.ffn_gate.weight,PQ2_0,142,2,5120x17408,4899028096,
blk.41.ffn_up.weight,PQ2_0,142,2,5120x17408,4922702976,
