name                                  type        shape                             offset
blk.29.ffn_down.weight                PQ2_0       17408x5120                    3652928768
blk.29.ffn_gate.weight                PQ2_0       5120x17408                    3676603648
blk.29.ffn_up.weight                  PQ2_0       5120x17408                    3700278528
blk.29.post_attention_norm.weight     F32         5120                          3723953408
blk.29.ssm_a                          F32         48                            3723973888
blk.29.ssm_alpha.weight               BF16        5120x48                       3723974080
blk.29.ssm_beta.weight                BF16        5120x48                       3724465600
blk.29.ssm_conv1d.weight              F32         4x10240                       3724957120
blk.29.ssm_dt.bias                    F32         48                            3725120960
blk.29.ssm_norm.weight                F32         128                           3725121152
blk.29.ssm_out.weight                 PQ2_0       6144x5120                     3725121664
blk.30.attn_gate.weight               PQ2_0       5120x6144                     3733477504
blk.30.attn_norm.weight               F32         5120                          3741833344
blk.30.attn_qkv.weight                PQ2_0       5120x10240                    3741853824
blk.30.ffn_down.weight                PQ2_0       17408x5120                    3755780224
blk.30.ffn_gate.weight                PQ2_0       5120x17408                    3779455104
blk.30.ffn_up.weight                  PQ2_0       5120x17408                    3803129984
blk.30.post_attention_norm.weight     F32         5120                          3826804864
blk.30.ssm_a                          F32         48                            3826825344
blk.30.ssm_alpha.weight               BF16        5120x48                       3826825536
blk.30.ssm_beta.weight                BF16        5120x48                       3827317056
blk.30.ssm_conv1d.weight              F32         4x10240                       3827808576
blk.30.ssm_dt.bias                    F32         48                            3827972416
blk.30.ssm_norm.weight                F32         128                           3827972608
blk.30.ssm_out.weight                 PQ2_0       6144x5120                     3827973120
blk.31.attn_k.weight                  PQ2_0       5120x1024                     3836328960
blk.31.attn_k_norm.weight             F32         256                           3837721600
blk.31.attn_norm.weight               F32         5120                          3837722624
blk.31.attn_output.weight             PQ2_0       6144x5120                     3837743104
blk.31.attn_q.weight                  PQ2_0       5120x12288                    3846098944
blk.31.attn_q_norm.weight             F32         256                           3862810624
blk.31.attn_v.weight                  PQ2_0       5120x1024                     3862811648
blk.31.ffn_down.weight                PQ2_0       17408x5120                    3864204288
blk.31.ffn_gate.weight                PQ2_0       5120x17408                    3887879168
blk.31.ffn_up.weight                  PQ2_0       5120x17408                    3911554048
blk.31.post_attention_norm.weight     F32         5120                          3935228928
blk.32.attn_gate.weight               PQ2_0       5120x6144                     3935249408
blk.32.attn_norm.weight               F32         5120                          3943605248
blk.32.attn_qkv.weight                PQ2_0       5120x10240                    3943625728
blk.32.ffn_down.weight                PQ2_0       17408x5120                    3957552128
blk.32.ffn_gate.weight                PQ2_0       5120x17408                    3981227008
blk.32.ffn_up.weight                  PQ2_0       5120x17408                    4004901888
blk.32.post_attention_norm.weight     F32         5120                          4028576768
blk.32.ssm_a                          F32         48                            4028597248
blk.32.ssm_alpha.weight               BF16        5120x48                       4028597440
blk.32.ssm_beta.weight                BF16        5120x48                       4029088960
blk.32.ssm_conv1d.weight              F32         4x10240                       4029580480
blk.32.ssm_dt.bias                    F32         48                            4029744320
blk.32.ssm_norm.weight                F32         128                           4029744512
blk.32.ssm_out.weight                 PQ2_0       6144x5120                     4029745024
blk.33.attn_gate.weight               PQ2_0       5120x6144                     4038100864
blk.33.attn_norm.weight               F32         5120                          4046456704
blk.33.attn_qkv.weight                PQ2_0       5120x10240                    4046477184
blk.33.ffn_down.weight                PQ2_0       17408x5120                    4060403584
blk.33.ffn_gate.weight                PQ2_0       5120x17408                    4084078464
blk.33.ffn_up.weight                  PQ2_0       5120x17408                    4107753344
blk.33.post_attention_norm.weight     F32         5120                          4131428224
blk.33.ssm_a                          F32         48                            4131448704
blk.33.ssm_alpha.weight               BF16        5120x48                       4131448896
blk.33.ssm_beta.weight                BF16        5120x48                       4131940416
blk.33.ssm_conv1d.weight              F32         4x10240                       4132431936
blk.33.ssm_dt.bias                    F32         48                            4132595776
blk.33.ssm_norm.weight                F32         128                           4132595968
blk.33.ssm_out.weight                 PQ2_0       6144x5120                     4132596480
blk.34.attn_gate.weight               PQ2_0       5120x6144                     4140952320
blk.34.attn_norm.weight               F32         5120                          4149308160
blk.34.attn_qkv.weight                PQ2_0       5120x10240                    4149328640
